country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Malta,MLT,33,0.03069,0.12829,0.0482,0.07252,-0.00637
Mauritania,MRT,12,0.0968,0.10584,0.01525,0.17573,0.04946
Mauritius,MUS,34,0.06293,0.13629,0.04676,0.15982,0.03689
Mexico,MEX,22,0.08873,0.14578,0.02422,0.14095,0.06817
"Micronesia, Fed. Sts.",FSM,20,0.01993,0.04259,-0.00178,0.15126,0.0
Moldova,MDA,19,0.11322,0.20052,0.03356,0.22103,0.06042
Mongolia,MNG,22,0.16045,0.26479,0.06123,0.60099,0.08617
Morocco,MAR,14,0.07516,0.12166,0.04484,0.09906,0.05405
Mozambique,MOZ,17,0.06446,0.22693,0.07031,0.19329,0.05877
Namibia,NAM,24,0.0806,0.17152,0.04072,0.14335,0.05869
Nepal,NPL,16,0.08146,0.15946,0.0368,0.1217,0.06328
New Zealand,NZL,12,0.02608,0.07927,0.02335,0.07011,-0.02539
Nicaragua,NIC,27,0.71544,0.68561,0.03,43.88886,0.62352
Niger,NER,16,0.03508,0.05092,0.00749,0.1431,0.00467
Nigeria,NGA,45,0.18417,0.22888,0.03641,0.15215,0.12756
Norway,NOR,28,0.04811,0.11818,0.02871,0.10278,0.00847
Oman,OMN,31,0.03782,0.09914,0.03891,0.08325,0.00347
Pakistan,PAK,11,0.10509,0.15222,0.03631,0.12023,0.05139
Panama,PAN,15,0.02035,0.0662,0.02876,0.09769,0.0
Papua New Guinea,PNG,35,0.05749,0.12749,0.036,0.12416,0.03784
Paraguay,PRY,25,0.09179,0.17446,0.03185,0.28908,0.0529
Peru,PER,29,0.59508,0.6556,0.03287,2.70915,0.52426
Philippines,PHL,39,0.08679,0.14485,0.0353,0.1363,0.04687
Poland,POL,17,0.14318,0.2197,0.03455,0.45329,0.07211
Romania,ROU,21,0.22947,0.3015,0.02705,0.32633,0.15397
Russian Federation,RUS,20,0.18244,0.26048,0.03292,0.37452,0.1124
Rwanda,RWA,16,0.05847,0.06601,0.02186,0.15472,0.03028
Samoa,WSM,13,0.03083,0.09298,0.01777,0.11044,-0.02807
Sao Tome and Principe,STP,15,0.11454,0.25226,0.04656,0.3344,0.05754
Senegal,SEN,16,0.04724,0.04402,0.01808,0.1431,0.00467
Serbia,SRB,18,0.17462,0.28007,0.02319,0.24077,0.16215
Seychelles,SYC,26,0.05697,0.15973,0.03579,0.1292,0.03182
Sierra Leone,SLE,50,0.22289,0.26722,0.02689,0.2096,0.19133
Singapore,SGP,37,0.01902,0.09868,0.06573,0.06682,-0.01568
Slovak Republic,SVK,16,0.05187,0.10129,0.04949,0.12663,-0.02255
Slovenia,SVN,12,0.05635,0.2621,0.03739,0.68353,0.04058
Solomon Islands,SLB,25,0.06952,0.16032,0.02973,0.14352,0.04375
South Africa,ZAF,50,0.10157,0.13174,0.02723,0.12857,0.05593
Sri Lanka,LKA,37,0.10547,0.13371,0.04959,0.14572,0.05908
St. Kitts and Nevis,KNA,34,0.03355,0.12585,0.03808,0.10366,0.0
St. Lucia,LCA,35,0.03312,0.08911,0.03528,0.11393,0.0
St. Vincent and the Grenadines,VCT,38,0.03859,0.0954,0.03357,0.1063,0.0
Suriname,SUR,24,0.37242,0.36062,0.02763,0.18697,0.36811
Swaziland,SWZ,41,0.09737,0.14436,0.04428,0.13059,0.06992
Sweden,SWE,20,0.08117,0.12776,0.02038,0.10951,0.01107
Switzerland,CHE,34,0.01566,0.06254,0.01699,0.04523,-0.02218
Syrian Arab Republic,SYR,30,0.10244,0.14348,0.04102,0.08978,0.03565
Tajikistan,TJK,17,0.16616,0.30609,0.072,0.26779,0.11494
Thailand,THA,39,0.0417,0.09808,0.05375,0.1069,0.012
Timor-Leste,TLS,12,0.03517,0.21636,0.05942,0.13676,0.0
Togo,TGO,16,0.03872,0.02846,0.01543,0.14469,0.00467
Tonga,TON,26,0.05438,0.09616,0.01605,0.10973,0.01478
Trinidad and Tobago,TTO,35,0.05081,0.10759,0.02254,0.12288,0.02846
Tunisia,TUN,12,0.08167,0.11439,0.03466,0.08326,0.07114
Uganda,UGA,10,0.77204,0.83588,0.03246,0.22999,0.94642
Ukraine,UKR,22,0.3777,0.3956,-0.00391,0.48701,0.28808
United States,USA,54,0.03374,0.05644,0.03075,0.07393,0.0
Uruguay,URY,39,0.31334,0.36717,0.02536,0.61308,0.25503
Vanuatu,VUT,34,0.03306,0.09556,0.03303,0.11162,0.00295
"Venezuela, RB",VEN,30,0.30118,0.36812,0.02544,0.25022,0.25271
"Yemen, Rep.",YEM,18,0.10842,0.11532,0.02763,0.20713,0.04691
Zambia,ZMB,20,0.24138,0.23141,0.01205,0.25489,-0.14617
Zimbabwe,ZWE,29,-0.00444,-0.14118,0.01225,0.78607,0.53378
